Name,Doc Type,Audience,Status,Owner,Related Tasks
Overview,Overview,Engineering;Investors;Growth,Final,,
Product Spec,Product Spec,Engineering;Growth,Final,,
Alert Engine Spec,Alert Engine,Engineering,Final,,
Tech Architecture,Tech Architecture,Engineering,Final,,
Implementation Roadmap,Roadmap,Engineering,Final,,
Go-To-Market,GTM,Growth;Investors,Final,,
Pricing & Unit Economics,Pricing/Unit Econ,Investors;Growth,Final,,
AI Agents,Agents,Engineering;Growth,Final,,
Investor One-Pager,Investor,Investors,Final,,
Operations Runbook,Ops,Engineering;Support,Final,,
Legal & Compliance,Legal,Legal;Growth;Support,Final,,
Analytics & Metrics,Analytics,Engineering;Growth,Final,,
Launch Checklist,Launch,Engineering;Growth,Final,,
Marketing Templates,Marketing Templates,Growth,Final,,
Telegram Bot Spec,Telegram Bot,Engineering,Final,,
API Spec,API,Engineering;Investors,Final,,
Risk Register,Risk,Engineering;Growth;Investors,Final,,
